OBD1,OBD2,OBD3,Frequency Naive Replicate 1,Frequency Naive Replicate 2,Frequency Naive Replicate 3,Frequency Selected Replicate 1,Frequency Selected Replicate 2,Frequency Selected Replicate 3
16,97,186,2.3783814638462233e-06,0,0,0,0,0
3,44,184,2.3783814638462233e-06,0,0,9.512258923687903e-06,0,2.318313751309847e-06
WT,,,0.3721144286889886,0.3798647418448958,0.37922758810992546,0.8381370240897957,0.8704992484259739,0.862994612238842
K340H,,,0.5181018613213336,0.531747527191248,0.5636130606376374,0.018479941023994674,0.002976875056836114,0.05058560605358087
11,40,196,0,2.270193942668522e-06,3.6307788383686183e-06,1.1890323654609879e-05,1.0698562648108227e-05,2.318313751309847e-06
10,33,192,0,2.270193942668522e-06,0,9.512258923687903e-06,0,1.622819625916893e-05
16,98,186,0,2.270193942668522e-06,0,0,0,4.636627502619694e-06
17,140,197,0,4.540387885337044e-06,0,7.134194192765927e-06,2.674640662027057e-06,2.318313751309847e-06
16,176,193,0,2.270193942668522e-06,0,0,0,4.636627502619694e-06
18,57,193,0,2.270193942668522e-06,0,0,0,0
3,79,186,0,2.270193942668522e-06,0,1.1890323654609879e-05,5.349281324054114e-06,9.273255005239388e-06
3,158,185,0,2.270193942668522e-06,0,9.512258923687903e-06,2.674640662027057e-06,4.636627502619694e-06
17,133,191,0,2.270193942668522e-06,1.8153894191843091e-06,2.3780647309219758e-06,0,2.318313751309847e-06
7,72,183,0,2.270193942668522e-06,0,2.6158712040141732e-05,0,2.318313751309847e-06
4,67,191,0,1.135096971334261e-05,0,0,0,0
14,78,197,0,9.080775770674089e-06,1.8153894191843091e-06,3.329290623290766e-05,0,2.0864823761788626e-05
11,117,189,0,2.270193942668522e-06,0,0,0,2.318313751309847e-06
10,33,186,0,2.270193942668522e-06,0,0,0,0
18,147,192,0,0,1.8153894191843091e-06,2.3780647309219758e-06,0,0
7,44,184,0,0,3.6307788383686183e-06,2.3780647309219758e-06,8.02392198608117e-06,2.318313751309847e-06
10,110,193,0,0,1.8153894191843091e-06,0,0,0
17,94,192,0,0,5.446168257552928e-06,0,0,0
16,110,191,0,0,1.8153894191843091e-06,0,0,0
12,123,188,0,0,7.2615576767372366e-06,0,0,0
16,176,190,0,0,3.6307788383686183e-06,1.664645311645383e-05,2.1397125296216455e-05,1.622819625916893e-05
10,34,190,0,0,3.6307788383686183e-06,0,0,0
5,102,190,0,0,5.446168257552928e-06,2.3780647309219758e-06,0,0
10,158,184,0,0,1.8153894191843091e-06,0,0,0
8,44,184,0,0,1.8153894191843091e-06,0,0,0
4,64,185,0,0,1.8153894191843091e-06,0,0,0
17,155,189,0,0,1.8153894191843091e-06,0,0,0
3,164,191,0,0,1.8153894191843091e-06,0,0,0
6,68,186,0,0,1.8153894191843091e-06,0,0,0
15,90,193,0,0,0,2.3780647309219758e-06,0,0
4,96,186,0,0,0,9.512258923687903e-06,0,9.273255005239388e-06
10,98,192,0,0,0,2.3780647309219758e-06,2.674640662027057e-06,0
5,69,190,0,0,0,2.3780647309219758e-06,0,0
6,68,198,0,0,0,2.3780647309219758e-06,0,0
10,33,182,0,0,0,2.3780647309219758e-06,0,0
6,104,192,0,0,0,2.3780647309219758e-06,0,0
4,114,194,0,0,0,7.134194192765927e-06,0,2.0864823761788626e-05
18,101,185,0,0,0,2.3780647309219758e-06,0,0
12,153,198,0,0,0,2.3780647309219758e-06,0,2.318313751309847e-06
11,40,197,0,0,0,2.3780647309219758e-06,0,0
10,33,194,0,0,0,7.134194192765927e-06,0,0
4,67,194,0,0,0,2.3780647309219758e-06,0,2.318313751309847e-06
4,67,183,0,0,0,7.134194192765927e-06,0,0
3,164,184,0,0,0,2.3780647309219758e-06,0,0
17,155,188,0,0,0,4.7561294618439516e-06,0,0
18,29,192,0,0,0,1.1890323654609879e-05,0,2.318313751309847e-06
16,63,189,0,0,0,9.512258923687903e-06,0,2.318313751309847e-06
12,133,189,0,0,0,4.7561294618439516e-06,0,0
5,131,182,0,0,0,4.7561294618439516e-06,0,2.318313751309847e-06
9,39,194,0,0,0,7.134194192765927e-06,0,0
18,57,185,0,0,0,7.134194192765927e-06,0,2.318313751309847e-06
6,178,197,0,0,0,2.3780647309219758e-06,2.674640662027057e-06,0
6,104,188,0,0,0,7.134194192765927e-06,0,2.318313751309847e-05
7,80,195,0,0,0,2.3780647309219758e-06,0,0
16,54,198,0,0,0,1.664645311645383e-05,0,2.318313751309847e-06
16,164,194,0,0,0,2.3780647309219758e-06,0,0
16,63,198,0,0,0,2.3780647309219758e-06,0,0
16,176,186,0,0,0,2.3780647309219758e-06,0,2.318313751309847e-06
14,78,185,0,0,0,4.7561294618439516e-06,0,0
4,116,187,0,0,0,2.3780647309219758e-06,0,0
12,77,195,0,0,0,4.7561294618439516e-06,0,0
14,47,192,0,0,0,4.7561294618439516e-06,0,0
4,116,197,0,0,0,7.134194192765927e-06,0,6.954941253929542e-06
15,121,184,0,0,0,4.7561294618439516e-06,0,0
6,178,183,0,0,0,2.3780647309219758e-06,0,0
9,85,182,0,0,0,2.3780647309219758e-06,0,9.273255005239388e-06
3,66,186,0,0,0,2.3780647309219758e-06,0,0
14,44,188,0,0,0,2.3780647309219758e-06,0,0
11,27,191,0,0,0,9.512258923687903e-06,0,0
17,33,192,0,0,0,4.7561294618439516e-06,0,0
11,117,193,0,0,0,9.512258923687903e-06,0,1.3909882507859084e-05
16,54,193,0,0,0,2.3780647309219758e-06,0,2.318313751309847e-06
5,149,193,0,0,0,4.7561294618439516e-06,0,2.318313751309847e-06
16,46,186,0,0,0,2.3780647309219758e-06,0,0
18,26,189,0,0,0,4.7561294618439516e-06,0,0
10,44,192,0,0,0,2.3780647309219758e-06,0,0
16,101,197,0,0,0,4.7561294618439516e-06,5.349281324054114e-06,0
3,171,186,0,0,0,2.3780647309219758e-06,0,0
6,68,193,0,0,0,2.3780647309219758e-06,0,0
18,147,181,0,0,0,2.3780647309219758e-06,0,0
9,28,191,0,0,0,7.134194192765927e-06,0,0
12,107,194,0,0,0,2.3780647309219758e-06,0,0
9,85,190,0,0,0,2.3780647309219758e-06,0,0
17,111,191,0,0,0,2.3780647309219758e-06,0,0
14,78,190,0,0,0,2.3780647309219758e-06,0,0
1,74,192,0,0,0,2.3780647309219758e-06,0,9.273255005239388e-06
11,40,186,0,0,0,2.3780647309219758e-06,0,0
12,46,193,0,0,0,4.7561294618439516e-06,0,2.318313751309847e-06
10,44,184,0,0,0,2.3780647309219758e-06,0,4.636627502619694e-06
15,69,190,0,0,0,4.7561294618439516e-06,1.0698562648108227e-05,0
16,176,188,0,0,0,2.3780647309219758e-06,0,0
12,33,190,0,0,0,2.3780647309219758e-06,0,0
17,140,195,0,0,0,2.3780647309219758e-06,0,2.318313751309847e-06
15,54,188,0,0,0,4.7561294618439516e-06,0,0
10,54,197,0,0,0,4.7561294618439516e-06,0,0
3,171,192,0,0,0,4.7561294618439516e-06,0,6.954941253929542e-06
18,67,190,0,0,0,7.134194192765927e-06,0,0
16,103,195,0,0,0,2.3780647309219758e-06,0,0
17,67,189,0,0,0,2.3780647309219758e-06,0,0
4,94,192,0,0,0,2.3780647309219758e-06,5.349281324054114e-06,0
3,57,185,0,0,0,2.3780647309219758e-06,0,0
3,34,190,0,0,0,2.3780647309219758e-06,0,4.636627502619694e-06
6,104,190,0,0,0,2.3780647309219758e-06,0,0
16,63,195,0,0,0,9.512258923687903e-06,0,0
16,112,186,0,0,0,2.3780647309219758e-06,0,0
5,22,183,0,0,0,2.3780647309219758e-06,0,0
4,77,195,0,0,0,2.3780647309219758e-06,0,0
11,78,192,0,0,0,2.3780647309219758e-06,0,0
17,163,181,0,0,0,4.7561294618439516e-06,0,0
2,152,186,0,0,0,2.3780647309219758e-06,0,0
4,178,186,0,0,0,2.3780647309219758e-06,0,0
6,33,193,0,0,0,4.7561294618439516e-06,0,0
17,140,186,0,0,0,4.7561294618439516e-06,0,0
16,166,186,0,0,0,2.3780647309219758e-06,0,0
14,84,186,0,0,0,4.7561294618439516e-06,0,0
17,121,192,0,0,0,2.3780647309219758e-06,0,0
4,27,188,0,0,0,0,8.02392198608117e-06,0
16,166,198,0,0,0,0,2.674640662027057e-06,2.318313751309847e-06
6,19,192,0,0,0,0,2.674640662027057e-06,0
4,94,194,0,0,0,0,2.674640662027057e-06,0
14,78,192,0,0,0,0,5.349281324054114e-06,0
4,67,190,0,0,0,0,2.674640662027057e-06,0
14,78,193,0,0,0,0,2.674640662027057e-06,0
17,96,190,0,0,0,0,5.349281324054114e-06,0
14,67,190,0,0,0,0,2.674640662027057e-06,0
11,151,193,0,0,0,0,8.02392198608117e-06,0
10,85,184,0,0,0,0,2.674640662027057e-06,0
10,63,189,0,0,0,0,2.674640662027057e-06,0
16,176,182,0,0,0,0,2.674640662027057e-06,0
16,102,186,0,0,0,0,2.674640662027057e-06,0
17,140,192,0,0,0,0,2.674640662027057e-06,0
18,26,186,0,0,0,0,2.674640662027057e-06,0
10,104,198,0,0,0,0,2.674640662027057e-06,0
16,58,183,0,0,0,0,0,2.318313751309847e-06
17,63,182,0,0,0,0,0,2.318313751309847e-06
9,105,183,0,0,0,0,0,2.318313751309847e-06
5,63,186,0,0,0,0,0,2.318313751309847e-06
11,40,182,0,0,0,0,0,2.318313751309847e-06
12,62,191,0,0,0,0,0,2.318313751309847e-06
5,59,183,0,0,0,0,0,4.636627502619694e-06
4,33,192,0,0,0,0,0,4.636627502619694e-06
10,72,181,0,0,0,0,0,2.318313751309847e-06
16,176,185,0,0,0,0,0,2.318313751309847e-06
14,78,182,0,0,0,0,0,4.636627502619694e-06
3,164,187,0,0,0,0,0,4.636627502619694e-06
16,100,191,0,0,0,0,0,4.636627502619694e-06
6,59,192,0,0,0,0,0,6.954941253929542e-06
7,96,192,0,0,0,0,0,2.318313751309847e-06
3,165,186,0,0,0,0,0,2.318313751309847e-06
5,114,189,0,0,0,0,0,2.318313751309847e-06
9,105,192,0,0,0,0,0,2.318313751309847e-06
1,44,195,0,0,0,0,0,4.636627502619694e-06
16,117,196,0,0,0,0,0,2.318313751309847e-06
10,114,194,0,0,0,0,0,6.954941253929542e-06
17,178,189,0,0,0,0,0,2.318313751309847e-06
3,164,189,0,0,0,0,0,2.318313751309847e-06
10,33,191,0,0,0,0,0,6.954941253929542e-06
4,120,186,0,0,0,0,0,4.636627502619694e-06
13,64,185,0,0,0,0,0,2.318313751309847e-06
14,119,194,0,0,0,0,0,2.318313751309847e-06
1,107,189,0,0,0,0,0,2.318313751309847e-06
6,33,190,0,0,0,0,0,2.318313751309847e-06
16,54,191,0,0,0,0,0,2.318313751309847e-06
16,165,186,0,0,0,0,0,2.318313751309847e-06
17,121,195,0,0,0,0,0,2.318313751309847e-06
16,40,196,0,0,0,0,0,2.318313751309847e-06
11,88,187,0,0,0,0,0,2.318313751309847e-06
18,50,192,0,0,0,0,0,2.318313751309847e-06
5,72,182,0,0,0,0,0,2.318313751309847e-06
18,143,194,0,0,0,0,0,4.636627502619694e-06
9,85,186,0,0,0,0,0,2.318313751309847e-06
16,104,188,0,0,0,0,0,4.636627502619694e-06
10,152,192,0,0,0,0,0,2.318313751309847e-06
7,112,192,0,0,0,0,0,2.318313751309847e-06
17,67,191,0,0,0,0,0,2.318313751309847e-06
16,121,184,0,0,0,0,0,2.318313751309847e-06
9,39,186,0,0,0,0,0,6.954941253929542e-06
3,164,198,0,0,0,0,0,6.954941253929542e-06
